abandoned,abandoning
blemished,blemishing
blended,blending
blessed,blessing
blighted,blighting
blinded,blindfolding
blindfolded,blinding
blinked,blinking
blistered,blistering
blitzed,blitzing
blockaded,blockading
blocked,blocking
bloomed,blooming
blossomed,blossoming
blotted,blotting
blow-dried,blow-drying
blown,blowing
blubbered,blubbering
bludgeoned,bludgeoning
blue-pencilled,blue-pencilling
bluffed,bluffing
blundered,blundering
blunted,blunting
blurred,blurring
blurted,blurting
blushed,blushing
boarded,boarding
boasted,boasting
bobbed,bobbing
boded,boding
bogged,bogging
boggled,boggling
boiled,boiling
bolstered,bolstering
bolted,bolting
bombarded,bombarding
bombed,bombing
bonded,bonding
boned,boning
booed,booing
booked,booking
boomed,booming
boosted,boosting
booted,booting
boozed,boozing
bordered,bordering
bored,boring
born,bearing
borrowed,borrowing
bossed,bossing
botched,botching
bothered,bothering
bottled,bottling
bottomed,bottoming
bought,buying
bounced,bouncing
bound,binding
bounded,bounding
bowed,bowing
bowled,bowling
boxed,boxing
boycotted,boycotting
braced,bracing
bracketed,bracketing
bragged,bragging
braided,braiding
brainwashed,brainwashing
braised,braising
braked,braking
branched,branching
branded,branding
brandished,brandishing
braved,braving
brawled,brawling
brayed,braying
breached,breaching
breastfed,breastfeeding
breathed,breathing
bred,breeding
breezed,breezing
brewed,brewing
bribed,bribing
bricked,bricking
bridged,bridging
bridled,bridling
briefed,briefing
brightened,brightening
brimmed,brimming
bristled,bristling
broached,broaching
broadcast,broadcasting
broadcasted,broadcasting
broadened,broadening
brocaded,brocading
broiled,broiling
broken,breaking
bronzed,bronzing
brooded,brooding
brooked,brooking
brought,bringing
browbeaten,browbeating
browned,browning
browsed,browsing
bruised,bruising
brushed,brushing
brutalized,brutalizing
bubbled,bubbling
bucked,bucking
buckled,buckling
budded,budding
budged,budging
budgeted,budgeting
buffed,buffing
buffeted,buffeting
bugged,bugging
buggered,buggering
bulged,bulging
bulldozed,bulldozing
bullied,bullying
bummed,bumming
bumped,bumping
bunched,bunching
bundled,bundling
bunged,bunging
bungled,bungling
bunked,bunking
buoyed,buoying
burbled,burbling
burdened,burdening
burgeoned,burgeoning
burgled,burgling
buried,burying
burlesqued,burlesquing
burned,burning
burnished,burnishing
burped,burping
burrowed,burrowing
bused,busing
busied,busying
bussed,bussing
busted,busting
bustled,bustling
butchered,butchering
butted,butting
buttered,buttering
buttoned,buttoning
buttonholed,buttonholing
buttressed,buttressing
buzzed,buzzing
by-passed,by-passing
bypassed,bypassing
cabled,cabling
cackled,cackling
caged,caging
cajoled,cajoling
calcified,calcifying
calculated,calculating
calibrated,calibrating
called,calling
calmed,calming
came,coming
camouflaged,camouflaging
campaigned,campaigning
canceled,canceling
cancelled,cancelling
caned,caning
cannibalized,cannibalizing
canoed,canoeing
canonized,canonizing
cantered,cantering
canvassed,canvassing
capered,capering
capitalized,capitalizing
capitulated,capitulating
capped,capping
capsized,capsizing
captivated,captivating
captured,capturing
carbonized,carbonizing
carded,carding
cared,caring
careened,careening
caressed,caressing
caricatured,caricaturing
carolled,carolling
caroused,carousing
carped,carping
carpeted,carpeting
carried,carrying
carted,carting
carved,carving
cascaded,cascading
cased,casing
cashed,cashing
cast,casting
castigated,castigating
castled,castling
castrated,castrating
catalogued,cataloguing
catapulted,catapulting
categorized,categorizing
catered,catering
caterwauled,caterwauling
caught,catching
caused,causing
cautioned,cautioning
caved,caving
cavilled,cavilling
cavorted,cavorting
ceased,ceasing
ceded,ceding
celebrated,celebrating
cemented,cementing
censored,censoring
censured,censuring
centered,centering
centralized,centralizing
centred,centring
certified,certifying
chafed,chafing
chagrined,chagrining
chained,chaining
chaired,chairing
chalked,chalking
challenged,challenging
championed,championing
changed,changing
channelled,channelling
chanted,chanting
chaperoned,chaperoning
characterized,characterizing
charged,charging
charmed,charming
charred,charring
charted,chartering
chartered,charting
chased,chasing
chastened,chastening
chastised,chastising
chatted,chatting
chattered,chattering
cheapened,cheapening
cheated,cheating
checked,checking
checkmated,checkmating
cheeped,cheeping
cheered,cheering
cherished,cherishing
chewed,chewing
chided,chiding
chilled,chilling
chipped,chipping
chirped,chirping
chirruped,chirruping
chiselled,chiselling
chlorinated,chlorinating
choked,choking
chopped,chopping
chortled,chortling
chosen,choosing
christened,christening
chronicled,chronicling
chucked,chucking
chuckled,chuckling
chugged,chugging
chummed,chumming
churned,churning
circled,circling
circularized,circularizing
circulated,circulating
circumcised,circumcising
circumnavigated,circumnavigating
circumscribed,circumscribing
circumvented,circumventing
cited,citing
civilized,civilizing
clacked,clacking
claimed,claiming
clambered,clambering
clammed,clamming
clamored,clamoring
clamoured,clamouring
clamped,clamping
clanged,clanging
clanked,clanking
clapped,clapping
clarified,clarifying
clashed,clashing
clasped,clasping
classified,classifying
clattered,clattering
clawed,clawing
cleaned,cleaning
cleansed,cleansing
cleared,clearing
cleaved,cleaving
clenched,clenching
clerked,clerking
clicked,clicking
climaxed,climaxing
climbed,climbing
clinched,clinching
clinked,clinking
clipped,clipping
cloaked,cloaking
clobbered,clobbering
clogged,clogging
cloistered,cloistering
cloned,cloning
closed,closing
closeted,closeting
clothed,clothing
clotted,clotting
clouded,clouding
clowned,clowning
cloyed,cloying
clubbed,clubbing
clucked,clucking
clumped,clumping
clung,clinging
clunked,clunking
clustered,clustering
clutched,clutching
cluttered,cluttering
co-authored,co-authoring
co-operated,co-operating
co-opted,co-opting
co-produced,co-producing
co-starred,co-starring
coached,coaching
coagulated,coagulating
coalesced,coalescing
coasted,coasting
coated,coating
coaxed,coaxing
cobbled,cobbling
cocked,cocking
coddled,coddling
coded,codifying
codified,coding
coerced,coercing
coexisted,coexisting
cogitated,cogitating
cohabited,cohabiting
cohered,cohering
coiled,coiling
coincided,coinciding
coined,coining
cold-shouldered,cold-shouldering
collaborated,collaborating
collapsed,collapsing
collared,collaring
collated,collating
collected,collecting
collectivized,collectivizing
collided,colliding
colonized,colonizing
colored,coloring
coloured,colouring
combated,combating
combatted,combatting
combed,combing
combined,combining
come,coming
comforted,comforting
commanded,commanding
commandeered,commandeering
commemorated,commemorating
commenced,commencing
commended,commending
commentated,commentating
commented,commenting
commercialized,commercializing
commingled,commingling
commiserated,commiserating
commissioned,commissioning
committed,committing
communed,communing
communicated,communicating
commuted,commuting
compacted,compacting
compared,comparing
compartmentalized,compartmentalizing
compelled,compelling
compensated,compensating
competed,competing
compiled,compiling
complained,complaining
complemented,complementing
completed,completing
complicated,complicating
complied,complying
complimented,complimenting
composed,composing
composted,composting
compounded,compounding
comprehended,comprehending
compressed,compressing
comprised,comprising
compromised,compromising
computed,computing
computerized,computerizing
concealed,concealing
conceded,conceding
conceived,conceiving
concentrated,concentrating
concerned,concerning
conciliated,conciliating
concluded,concluding
concocted,concocting
concurred,concurring
condemned,condemning
condensed,condensing
condescended,condescending
conditioned,conditioning
condoned,condoning
conducted,conducting
confabbed,confabbing
confabulated,confabulating
confederated,confederating
conferred,conferring
confessed,confessing
confided,confiding
configured,configuring
confined,confining
confirmed,confirming
confiscated,confiscating
conflicted,conflicting
conformed,conforming
confounded,confounding
confronted,confronting
confused,confusing
confuted,confuting
congealed,congealing
congratulated,congratulating
congregated,congregating
conjectured,conjecturing
conjoined,conjoining
conjugated,conjugating
conked,conking
connected,connecting
conned,conning
connived,conniving
connoted,connoting
conquered,conquering
conscripted,conscripting
consecrated,consecrating
consented,consenting
conserved,conserving
considered,considering
consigned,consigning
consisted,consisting
consoled,consoling
consolidated,consolidating
consorted,consorting
conspired,conspiring
constituted,constituting
constrained,constraining
constricted,constricting
constructed,constructing
construed,construing
consulted,consulting
consumed,consuming
consummated,consummating
contacted,contacting
contained,containing
contaminated,contaminating
contemplated,contemplating
contended,contending
contented,contenting
contested,contesting
continued,continuing
contorted,contorting
contoured,contouring
contracted,contracting
contradicted,contradicting
contrasted,contrasting
contravened,contravening
contributed,contributing
contrived,contriving
controlled,controlling
convalesced,convalescing
convened,convening
converged,converging
conversed,conversing
converted,converting
conveyed,conveying
convicted,convicting
convinced,convincing
convoked,convoking
convoyed,convoying
convulsed,convulsing
cooed,cooing
cooked,cooking
cooled,cooling
cooped,cooping
cooperated,cooperating
coordinated,coordinating
coped,coping
copied,copying
copped,copping
copulated,copulating
copyrighted,copyrighting
corded,cording
cordoned,cordoning
cored,coring
corked,corking
cornered,cornering
corralled,corralling
corrected,correcting
correlated,correlating
corresponded,corresponding
corroborated,corroborating
corroded,corroding
corrupted,corrupting
cost,costing
couched,couching
coughed,coughing
counseled,counseling
counted,counting
countenanced,countenancing
counteracted,counteracting
counterattacked,counterattacking
counterbalanced,counterbalancing
countered,countering
counterfeited,counterfeiting
countermanded,countermanding
countersigned,countersigning
coupled,coupling
court-martialed,court-martialing
courted,courting
covered,covering
coveted,coveting
cowered,cowering
cracked,cracking
crackled,crackling
cradled,cradling
crammed,cramming
cramped,cramping
craned,craning
cranked,cranking
crapped,crapping
crash-dived,crash-diving
crash-landed,crash-landing
crashed,crashing
craved,craving
crawled,crawling
crayoned,crayoning
creaked,creaking
creamed,creaming
creased,creasing
created,creating
credited,crediting
cremated,cremating
crept,creeping
crested,cresting
cribbed,cribbing
cried,crying
crimped,crimping
cringed,cringing
crinkled,crinkling
crippled,crippling
crisscrossed,crisscrossing
criticized,criticizing
croaked,croaking
crocheted,crocheting
crooned,crooning
cropped,cropping
cross-examined,cross-examining
cross-fertilized,cross-fertilizing
cross-indexed,cross-indexing
cross-questioned,cross-questioning
crossbred,crossbreeding
crosschecked,crosschecking
crossed,crossing
crouched,crouching
crowded,crowding
crowed,crowing
crowned,crowning
crucified,crucifying
cruised,cruising
crumbled,crumbling
crumpled,crumpling
crunched,crunching
crusaded,crusading
crushed,crushing
crystallized,crystallizing
cubed,cubing
cuddled,cuddling
cudgeled,cudgeling
cuffed,cuffing
culled,culling
culminated,culminating
cultivated,cultivating
cupped,cupping
curbed,curbing
curdled,curdling
cured,curing
curled,curling
curried,currying
cursed,cursing
curtailed,curtailing
curtseyed,curtseying
curtsied,curtsying
