abandoned,abandoning
facilitated,facilitating
factored,factoring
faded,fading
fagged,fagging
failed,failing
fainted,fainting
faked,faking
fallen,falling
falsified,falsifying
faltered,faltering
familiarized,familiarizing
fancied,fancying
fanned,fanning
fantasized,fantasizing
fared,faring
farted,farting
fascinated,fascinating
fashioned,fashioning
fasted,fasting
fastened,fastening
fated,fating
fathomed,fathoming
fatigued,fatiguing
fattened,fattening
faulted,faulting
favored,favoring
favoured,favouring
fawned,fawning
faxed,faxing
feared,fearing
feasted,feasting
feathered,feathering
featured,featuring
fed,feeding
feigned,feigning
feinted,feinting
felled,felling
fended,fending
fermented,fermenting
ferreted,ferreting
ferried,ferrying
fertilized,fertilizing
festered,festering
festooned,festooning
fetched,fetching
feted,feting
fettered,fettering
fibbed,fibbing
fiddled,fiddling
fidgeted,fidgeting
fielded,fielding
figured,figuring
filed,filing
filibustered,filibustering
filled,filling
filleted,filleting
filmed,filming
filtered,filtering
finalized,finalizing
financed,financing
fine-tuned,fine-tuning
fined,fining
fingered,fingering
finished,finishing
fired,firing
firmed,firming
fished,fishing
fitted,fitting
fixated,fixating
fixed,fixing
fizzed,fizzing
fizzled,fizzling
flagellated,flagellating
flagged,flagging
flailed,flailing
flaked,flaking
flamed,flaming
flanked,flanking
flapped,flapping
flared,flaring
flashed,flashing
flattened,flattening
flattered,flattering
flaunted,flaunting
flavoured,flavouring
flayed,flaying
fled,fleeing
fleeced,fleecing
flexed,flexing
flicked,flicking
flickered,flickering
flinched,flinching
flinged,flinging
flipped,flipping
flirted,flirting
flitted,flitting
floated,floating
flocked,flocking
flogged,flogging
flooded,flooding
floodlit,floodlighting
floored,flooring
flopped,flopping
floundered,floundering
flourished,flourishing
flouted,flouting
flowed,flowing
flowered,flowering
flown,flying
fluctuated,fluctuating
fluffed,fluffing
flummoxed,flummoxing
flung,flinging
flunked,flunking
fluoridated,fluoridating
flurried,flurrying
flushed,flushing
flustered,flustering
fluttered,fluttering
fly-fished,fly-fishing
foamed,foaming
fobbed,fobbing
focused,focusing
foiled,foiling
foisted,foisting
folded,folding
followed,following
fomented,fomenting
fondled,fondling
fooled,fooling
footed,footing
foraged,foraging
forbidden,forbidding
forborne,forbearing
force-fed,force-feeding
forced,forcing
forded,fording
forecasted,forecasting
foreclosed,foreclosing
foregathered,foregathering
foregone,foregoing
foreordained,foreordaining
foreseen,foreseeing
foreshadowed,foreshadowing
foreshortened,foreshortening
forestalled,forestalling
foresworn,foreswearing
foretold,foretelling
forewarned,forewarning
forfeited,forfeiting
forged,forging
forgiven,forgiving
forgone,forgoing
forgotten,forgetting
forked,forking
formalized,formalizing
formed,forming
formulated,formulating
fornicated,fornicating
forsaken,forsaking
forsworn,forswearing
fortified,fortifying
forwarded,forwarding
fossilized,fossilizing
fostered,fostering
fought,fighting
fouled,fouling
found,finding
founded,founding
foundered,foundering
foxhunted,foxhunting
fractured,fracturing
fragmented,fragmenting
framed,framing
franked,franking
fraternized,fraternizing
frayed,fraying
freaked,freaking
freed,freeing
freelanced,freelancing
freewheeled,freewheeling
frequented,frequenting
frescoed,frescoing
freshened,freshening
fretted,fretting
fricasseed,fricasseeing
fried,frying
frightened,frightening
frisked,frisking
frittered,frittering
frogmarched,frogmarching
fronted,fronting
frosted,frosting
frothed,frothing
frowned,frowning
frozen,freezing
frustrated,frustrating
fucked,fucking
fueled,fueling
fuelled,fuelling
fulfilled,fulfilling
fulminated,fulminating
fumbled,fumbling
fumed,fuming
fumigated,fumigating
functioned,functioning
funded,funding
funnelled,funnelling
furbished,furbishing
furled,furling
furnished,furnishing
furrowed,furrowing
furthered,furthering
fused,fusing
fussed,fussing
gaged,gaging
gagged,gagging
gained,gaining
gainsaid,gainsaying
galled,galling
gallivanted,gallivanting
galloped,galloping
galumphed,galumphing
galvanized,galvanizing
gambled,gambling
gambolled,gambolling
ganged,ganging
gaoled,gaoling
gaped,gaping
garbed,garbing
garbled,garbling
gardened,gardening
gargled,gargling
garnered,garnering
garnished,garnishing
garrisoned,garrisoning
gashed,gashing
gasified,gasifying
gasped,gasping
gatecrashed,gatecrashing
gathered,gathering
gauged,gauging
gawped,gawping
gazed,gazing
geared,gearing
gelled,gelling
generalized,generalizing
generated,generating
genuflected,genuflecting
germinated,germinating
gerrymandered,gerrymandering
gesticulated,gesticulating
gestured,gesturing
gibed,gibing
giggled,giggling
gilded,gilding
ginned,ginning
girded,girding
given,giving
gladdened,gladdening
glamorized,glamorizing
glanced,glancing
glared,glaring
glazed,glazing
gleamed,gleaming
gleaned,gleaning
glided,gliding
glimmered,glimmering
glimpsed,glimpsing
glinted,glinting
glistened,glistening
glittered,glittering
gloated,gloating
globetrotted,globetrotting
gloried,glorying
glorified,glorifying
glossed,glossing
glowed,glowing
glowered,glowering
glutted,glutting
gnashed,gnashing
gnawed,gnawing
goaded,goading
gobbled,gobbling
goggled,goggling
golfed,golfing
goofed,goofing
gored,gorging
gorged,goring
gossiped,gossiping
gotten,getting
gouged,gouging
governed,governing
grabbed,grabbing
graced,gracing
graded,grading
graduated,graduating
grafted,grafting
granted,granting
grappled,grappling
grasped,grasping
grated,grating
gratified,gratifying
gravelled,gravelling
gravitated,gravitating
grayed,graying
grazed,grazing
greased,greasing
greyed,greying
grieved,grieving
grilled,grilling
grimaced,grimacing
grinded,grinding
grinned,grinning
gripped,gripping
gritted,gritting
groaned,groaning
groined,groining
groomed,grooming
grooved,grooving
groped,groping
grossed,grossing
grouched,grouching
grounded,grounding
grouped,grouping
groused,grousing
grovelled,grovelling
growled,growling
grown,growing
grudged,grudging
grumbled,grumbling
grunted,grunting
guaranteed,guaranteeing
guarded,guarding
guessed,guessing
guffawed,guffawing
guided,guiding
guillotined,guillotining
gulped,gulping
gummed,gumming
gunned,gunning
gurgled,gurgling
gushed,gushing
gutted,gutting
guzzled,guzzling
gybed,gybing
gypped,gypping
gyrated,gyrating
hacked,hacking
haggled,haggling
hailed,hailing
hallowed,hallowing
halted,halting
halved,halving
hammed,hamming
hammered,hammering
hampered,hampering
hamstrung,hamstringing
handcuffed,handcuffing
handed,handing
handicapped,handicapping
handled,handling
hanged,hanging
hankered,hankering
happened,happening
harangued,haranguing
harassed,harassing
harbored,harboring
harboured,harbouring
hardened,hardening
harked,harking
harmed,harming
harmonized,harmonizing
harnessed,harnessing
harped,harping
harpooned,harpooning
harried,harrying
harrowed,harrowing
harvested,harvesting
hashed,hashing
hassled,hassling
hastened,hastening
hatched,hatching
hated,hating
hauled,hauling
haunted,haunting
hawed,hawing
hawked,hawking
hazarded,hazarding
hazed,hazing
headed,heading
healed,healing
heaped,heaping
heard,hearing
hearkened,hearkening
heartened,heartening
heated,heating
heaved,heaving
heckled,heckling
hedged,hedging
heeded,heeding
heeled,heeling
heightened,heightening
held,holding
hemmed,hemming
heralded,heralding
herded,herding
hesitated,hesitating
hibernated,hibernating
hiccoughed,hiccoughing
hiccupped,hiccupping
hidden,hiding
highjacked,highjacking
highlighted,highlighting
hijacked,hijacking
hindered,hindering
hinged,hinging
hinted,hinting
hired,hiring
hissed,hissing
hitched,hitching
hitchhiked,hitchhiking
hoarded,hoarding
hoaxed,hoaxing
hobbled,hobbling
hobnobbed,hobnobbing
hocked,hocking
hoed,hoeing
hogged,hogging
hoisted,hoisting
hollered,hollering
hollowed,hollowing
homogenized,homogenizing
honed,honing
honeymooned,honeymooning
honked,honking
honored,honoring
honoured,honouring
hooded,hooding
hoodwinked,hoodwinking
hooked,hooking
hooted,hooting
hoped,hoping
hopped,hopping
horrified,horrifying
horsewhipped,horsewhipping
hosed,hosing
hospitalized,hospitalizing
hostaged,hostaging
hosted,hosting
hotfooted,hotfooting
hounded,hounding
housed,housing
hovered,hovering
howled,howling
huddled,huddling
huffed,huffing
hugged,hugging
hulled,hulling
humbled,humbling
humbugged,humbugging
humiliated,humiliating
hummed,humming
humoured,humouring
humped,humping
hunched,hunching
hungered,hungering
hunted,hunting
hurled,hurling
hurried,hurrying
hurt,hurting
hurtled,hurtling
hushed,hushing
husked,husking
hustled,hustling
hyphenated,hyphenating
hypnotized,hypnotizing
iced,icing
idealized,idealizing
identified,identifying
idled,idling
idolized,idolizing
ignited,igniting
ignored,ignoring
ill-treated,ill-treating
illuminated,illuminating
illumined,illumining
illustrated,illustrating
imaged,imaging
imagined,imagining
imbibed,imbibing
imbued,imbuing
imitated,imitating
immersed,immersing
immigrated,immigrating
immobilized,immobilizing
immolated,immolating
immortalized,immortalizing
immunized,immunizing
impacted,impacting
impaired,impairing
impaled,impaling
impanelled,impanelling
imparted,imparting
impeached,impeaching
impeded,impeding
impelled,impelling
impended,impending
imperilled,imperilling
impersonated,impersonating
impinged,impinging
implanted,implanting
implemented,implementing
implicated,implicating
implied,implying
implored,imploring
imported,importing
imposed,imposing
impounded,impounding
impoverished,impoverishing
impregnated,impregnating
impressed,impressing
imprinted,imprinting
imprisoned,imprisoning
improved,improving
improvised,improvising
impugned,impugning
imputed,imputing
inactivated,inactivating
inaugurated,inaugurating
incapacitated,incapacitating
incarcerated,incarcerating
incensed,incensing
inched,inching
incinerated,incinerating
incited,inciting
inclined,inclining
included,including
inconvenienced,inconveniencing
incorporated,incorporating
increased,increasing
incriminated,incriminating
incubated,incubating
inculcated,inculcating
incurred,incurring
indemnified,indemnifying
indented,indenting
indentured,indenturing
indexed,indexing
indicated,indicating
indicted,indicting
individuated,individuating
indoctrinated,indoctrinating
induced,inducing
inducted,inducting
indulged,indulging
industrialized,industrializing
infatuated,infatuating
infected,infecting
inferred,inferring
infested,infesting
infiltrated,infiltrating
inflamed,inflaming
inflated,inflating
inflected,inflecting
inflicted,inflicting
influenced,influencing
informed,informing
infringed,infringing
infuriated,infuriating
infused,infusing
ingested,ingesting
ingratiated,ingratiating
inhabited,inhabiting
inhaled,inhaling
inherited,inheriting
inhibited,inhibiting
initialled,initialling
initiated,initiating
injected,injecting
injured,injuring
inked,inking
innovated,innovating
inoculated,inoculating
inquired,inquiring
inscribed,inscribing
inseminated,inseminating
inserted,inserting
insinuated,insinuating
insisted,insisting
inspected,inspecting
inspired,inspiring
installed,installing
instigated,instigating
instilled,instilling
instituted,instituting
institutionalized,institutionalizing
instructed,instructing
insulated,insulating
insulted,insulting
insured,insuring
integrated,integrating
intended,intending
intensified,intensifying
interacted,interacting
interbred,interbreeding
interceded,interceding
intercepted,intercepting
interchanged,interchanging
intercommunicated,intercommunicating
interconnected,interconnecting
interdicted,interdicting
interested,interesting
interfered,interfering
interjected,interjecting
interleaved,interleaving
interlocked,interlocking
intermarried,intermarrying
intermingled,intermingling
intermixed,intermixing
internalized,internalizing
internationalized,internationalizing
interned,interning
interpolated,interpolating
interpreted,interpreting
interred,interring
interrelated,interrelating
interrogated,interrogating
interrupted,interrupting
intersected,intersecting
interspersed,interspersing
intertwined,intertwining
intervened,intervening
interviewed,interviewing
interwoven,interweaving
intimated,intimating
intimidated,intimidating
intoned,intoning
intoxicated,intoxicating
intrigued,intriguing
introduced,introducing
introspected,introspecting
intruded,intruding
intuited,intuiting
inundated,inundating
invaded,invading
invalidated,invalidating
inveighed,inveighing
inveigled,inveigling
invented,inventing
inverted,inverting
invested,investigating
investigated,investing
invigorated,invigorating
invited,inviting
invoked,invoking
involved,involving
ionized,ionizing
irked,irking
ironed,ironing
irradiated,irradiating
irrigated,irrigating
irritated,irritating
isolated,isolating
issued,issuing
italicized,italicizing
itched,itching
itemized,itemizing
iterated,iterating
jabbed,jabbing
jabbered,jabbering
jack-knifed,jack-knifing
jacked,jacking
jailed,jailing
jammed,jamming
jangled,jangling
jarred,jarring
jaunted,jaunting
jawed,jawing
jaywalked,jaywalking
jazzed,jazzing
jeered,jeering
jelled,jelling
jeopardized,jeopardizing
jerked,jerking
jested,jesting
jettisoned,jettisoning
jibed,jibing
jigged,jigging
jiggled,jiggling
jilted,jilting
jingled,jingling
jived,jiving
jockeyed,jockeying
joined,joining
joked,joking
jollied,jollying
jolted,jolting
jostled,jostling
jotted,jotting
journeyed,journeying
jousted,jousting
judged,judging
jugged,jugging
juggled,juggling
jumbled,jumbling
jumped,jumping
justified,justifying
jutted,jutting
juxtaposed,juxtaposing
keeled,keeling
kenned,kenning
kept,keeping
kicked,kicking
kidded,kidding
kidnapped,kidnapping
killed,killing
kindled,kindling
kissed,kissing
kneaded,kneading
kneeled,kneeling
knelt,kneeling
knifed,knifing
knighted,knighting
knitted,knitting
knocked,knocking
knotted,knotting
knuckled,knuckling
kowtowed,kowtowing
labelled,labelling
laboured,labouring
laced,lacerating
lacerated,lacing
lacked,lacking
lacquered,lacquering
lagged,lagging
laid,laying
lain,lying
lambasted,lambasting
lamented,lamenting
laminated,laminating
lampooned,lampooning
lanced,lancing
landed,landing
landscaped,landscaping
languished,languishing
lapped,lapping
lapsed,lapsing
lashed,lashing
lassoed,lassoing
lasted,lasting
latched,latching
lauded,lauding
laughed,laughing
launched,launching
laundered,laundering
lavished,lavishing
leached,leaching
leafed,leafing
leaked,leaking
leaned,leaning
leaped,leaping
leapfrogged,leapfrogging
leapt,leaping
leased,leasing
leavened,leavening
lectured,lecturing
led,leading
leered,leering
left,leaving
legalized,legalizing
legislated,legislating
legitimatized,legitimatizing
lengthened,lengthening
lent,lending
lessened,lessening
leveled,leveling
levelled,levelling
leveraged,leveraging
levered,levering
levied,levying
levitated,levitating
liaised,liaising
libelled,libelling
liberalized,liberalizing
liberated,liberating
licenced,licencing
licensed,licensing
licked,licking
lied,lying
lifted,lifting
lighted,lighting
lightened,lightening
likened,likening
limbered,limbering
limited,limiting
limped,limping
lined,lining
lingered,lingering
linked,linking
lionized,lionizing
lip-read,lip-reading
liquefied,liquefying
liquidated,liquidating
liquidized,liquidizing
lisped,lisping
listed,listing
listened,listening
lit,lighting
litigated,litigating
littered,littering
livened,livening
loaded,loading
loafed,loafing
loaned,loaning
loathed,loathing
lobbed,lobbing
lobbied,lobbying
localized,localizing
located,locating
locked,locking
lodged,lodging
lofted,lofting
logged,logging
loitered,loitering
lolled,lolling
longed,longing
looked,looking
loomed,looming
looped,looping
loosed,loosing
loosened,loosening
looted,looting
loped,loping
lopped,lopping
lost,losing
lounged,lounging
loved,loving
lowered,lowering
lubricated,lubricating
lugged,lugging
lulled,lulling
lumbered,lumbering
lumped,lumping
lunched,lunching
lunged,lunging
lurched,lurching
lured,luring
lurked,lurking
lusted,lusting
luxuriated,luxuriating
lynched,lynching
maddened,maddening
made,making
magnetized,magnetizing
magnified,magnifying
maimed,maiming
maintained,maintaining
majored,majoring
malfunctioned,malfunctioning
maligned,maligning
malingered,malingering
maltreated,maltreating
manacled,manacling
managed,managing
mandated,mandating
maneuvered,maneuvering
mangled,mangling
manhandled,manhandling
manicured,manicuring
manifested,manifesting
manipulated,manipulating
manned,manning
manoeuvred,manoeuvring
manufactured,manufacturing
mapped,mapping
marched,marching
marinated,marinating
marked,marking
marooned,marooning
marred,marring
married,marrying
marshalled,marshalling
martyred,martyring
marvelled,marvelling
mashed,mashing
masked,masking
masqueraded,masquerading
mass-produced,mass-producing
massaged,massaging
massed,massing
mastered,mastering
masterminded,masterminding
masticated,masticating
masturbated,masturbating
matched,matching
mated,mating
materialized,materializing
matriculated,matriculating
mattered,mattering
maturated,maturating
matured,maturing
mauled,mauling
maundered,maundering
maximized,maximizing
meandered,meandering
meant,meaning
measured,measuring
mechanized,mechanizing
meddled,meddling
mediated,mediating
medicated,medicating
meditated,meditating
mellowed,mellowing
melted,melting
memorialized,memorializing
memorized,memorizing
menaced,menacing
mended,mending
menstruated,menstruating
mentioned,mentioning
merged,merging
merited,meriting
meshed,meshing
mesmerized,mesmerizing
messed,messing
met,meeting
metamorphosed,metamorphosing
meted,meting
mewed,mewing
miaoued,miaouing
miaowed,miaowing
microfilmed,microfilming
migrated,migrating
militated,militating
milked,milking
milled,milling
mimed,miming
mimeographed,mimeographing
mimicked,mimicking
minced,mincing
minded,minding
mined,mining
mingled,mingling
miniaturized,miniaturizing
minimized,minimizing
ministered,ministering
minted,minting
mired,miring
mirrored,mirroring
misapplied,misapplying
misapprehended,misapprehending
misappropriated,misappropriating
misbehaved,misbehaving
miscalculated,miscalculating
miscarried,miscarrying
miscast,miscastting
misconceived,misconceiving
misconstrued,misconstruing
miscounted,miscounting
misdated,misdating
misdealt,misdealing
misdirected,misdirecting
misfired,misfiring
misgoverned,misgoverning
misguided,misguiding
mishandled,mishandling
misheard,mishearing
misinformed,misinforming
misinterpreted,misinterpreting
misjudged,misjudging
mislaid,mislaying
misled,misleading
mismanaged,mismanaging
misnamed,misnaming
misplaced,misplacing
mispronounced,mispronouncing
misquoted,misquoting
misread,misreading
misrepresented,misrepresenting
missed,missing
misspelled,misspelling
misspent,misspending
misstated,misstating
mistaken,mistaking
misted,misting
mistranslated,mistranslating
mistreated,mistreating
mistrusted,mistrusting
misunderstood,mistunderstanding
misused,misusing
mitigated,mitigating
mixed,mixing
moaned,moaning
mobbed,mobbing
mobilized,mobilizing
mocked,mocking
modeled,modeling
modelled,modelling
moderated,moderating
modernized,modernizing
modified,modifying
modulated,modulating
moistened,moistening
molded,molding
molested,molesting
mollified,mollifying
mollycoddled,mollycoddling
molted,molting
monitored,monitoring
monkeyed,monkeying
monopolized,monopolizing
mooched,mooching
mooed,mooing
mooned,mooning
moored,mooring
moped,moping
mopped,mopping
moralized,moralizing
mortared,mortaring
mortgaged,mortgaging
mortified,mortifying
moseyed,moseying
mothproofed,mothproofing
motioned,motioning
motivated,motivating
motored,motoring
motorized,motorizing
moulded,moulding
moulted,moulting
mounted,mounting
mourned,mourning
mouthed,mouthing
moved,moving
mowed,mowing
mucked,mucking
muddied,muddying
muddled,muddling
muffed,muffing
muffled,muffling
mugged,mugging
mulched,mulching
mulled,mulling
multiplied,multiplying
mumbled,mumbling
munched,munching
murdered,murdering
murmured,murmuring
mused,musing
mushroomed,mushrooming
mussed,mussing
mustered,mustering
muted,mutilating
mutilated,muting
mutinied,mutinying
muttered,muttering
muzzled,muzzling
mystified,mystifying
nabbed,nabbing
nagged,nagging
nailed,nailing
name-dropped,name-dropping
named,naming
napped,napping
narrated,narrating
narrowed,narrowing
nationalized,nationalizing
nattered,nattering
naturalized,naturalizing
navigated,navigating
neared,nearing
necessitated,necessitating
necked,necking
needed,needing
needled,needling
negated,negating
neglected,neglecting
negotiated,negotiating
neighed,neighing
nested,nesting
nestled,nestling
netted,netting
nettled,nettling
neutered,neutering
neutralized,neutralizing
nibbled,nibbling
nicked,nicking
nicknamed,nicknaming
niggled,niggling
nipped,nipping
nodded,nodding
nominated,nominating
normalized,normalizing
nosedived,nosediving
noshed,noshing
noted,noting
noticed,noticing
notified,notifying
nourished,nourishing
nudged,nudging
nullified,nullifying
numbed,numbering
numbered,numbing
nursed,nursing
nurtured,nurturing
nuzzled,nuzzling
obeyed,obeying
obfuscated,obfuscating
objected,objecting
obligated,obligating
obliged,obliging
obliterated,obliterating
obscured,obscuring
observed,observing
obsessed,obsessing
obstructed,obstructing
obtained,obtaining
obviated,obviating
occasioned,occasioning
occupied,occupying
occurred,occurring
offended,offending
offered,offering
officiated,officiating
offset,offsetting
ogled,ogling
oiled,oiling
okayed,okaying
omened,omening
omitted,omitting
oozed,oozing
opened,opening
operated,operating
opined,opining
opposed,opposing
oppressed,oppressing
opted,opting
orated,orating
orbited,orbiting
orchestrated,orchestrating
ordained,ordaining
ordered,ordering
organized,organizing
orientated,orientating
oriented,orienting
originated,originating
ornamented,ornamenting
oscillated,oscillating
ossified,ossifying
ostracized,ostracizing
ousted,ousting
outbalanced,outbalancing
outbid,outbiding
outclassed,outclassing
outdistanced,outdistancing
outdone,outdoing
outfitted,outfitting
outflanked,outflanking
outfought,outfighting
outfoxed,outfoxing
outgone,outgoing
outgrown,outgrowing
outlasted,outlasting
outlawed,outlawing
outlined,outlining
outlived,outliving
outmanoeuvred,outmanoeuvring
outnumbered,outnumbering
outplayed,outplaying
outraged,outraging
outranked,outranking
outridden,outriding
outrun,outrunning
outshone,outshining
outsmarted,outsmarting
outstayed,outstaying
outvoted,outvoting
outweighed,outweighing
outwitted,outwitting
overacted,overacting
overawed,overawing
overbidden,overbidding
overbore,overbearing
overburdened,overburdening
overcharged,overcharging
overcome,overcoming
overcooked,overcooking
overcrowded,overcrowding
overdone,overdoing
overdrawn,overdrawing
overdressed,overdressing
overeaten,overeating
overemphasized,overemphasizing
overestimated,overestimating
overexerted,overexerting
overexposed,overexposing
overfed,overfeeding
overflowed,overflowing
overhauled,overhauling
overheard,overhearing
overheated,overheating
overindulged,overindulging
overlain,overlying
overlapped,overlapping
overleaped,overleaping
overloaded,overloading
overlooked,overlooking
overpaid,overpaying
overplayed,overplaying
overpowered,overpowering
overpraised,overpraising
overprinted,overprinting
overproduced,overproducing
overrated,overrating
overreached,overreaching
overreacted,overreacting
overridden,overriding
overriden,overriding
overruled,overruling
overrun,overrunning
overseen,overseeing
overshadowed,overshadowing
overshot,overshooting
oversimplified,oversimplifying
overslept,oversleeping
overspent,overspending
overstated,overstating
overstayed,overstaying
overstepped,overstepping
overstocked,overstocking
overstrained,overstraining
overtaken,overtaking
overtaxed,overtaxing
overtrumped,overtrumping
overturned,overturning
overvalued,overvaluing
overwhelmed,overwhelming
overworked,overworking
owed,owing
owned,owning
oxidized,oxidizing
oxygenated,oxygenating
paced,pacing
pacified,pacifying
packaged,packaging
packed,packing
padded,padding
paddled,paddling
padlocked,padlocking
paged,paging
paid,paying
pained,paining
paired,pairing
paled,paling
palled,palling
palmed,palming
palpitated,palpitating
pampered,pampering
pandered,pandering
panhandled,panhandling
panicked,panicking
panned,panning
panted,panting
papered,papering
parachuted,parachuting
paraded,parading
parallelled,parallelling
paralysed,paralysing
paralyzed,paralyzing
paraphrased,paraphrasing
parched,parching
pardoned,pardoning
pared,paring
parked,parking
parleyed,parleying
parodied,parodying
paroled,paroling
parried,parrying
parsed,parsing
partaken,partaking
parted,parting
participated,participating
partitioned,partitioning
partnered,partnering
passed,passing
pasted,pasteurizing
pasteurized,pasting
patched,patching
patented,patenting
patrolled,patrolling
patronized,patronizing
patted,patting
pattered,pattering
patterned,patterning
pauperized,pauperizing
paused,pausing
paved,paving
pawed,pawing
pawned,pawning
peaked,peaking
pealed,pealing
pearled,pearling
pecked,pecking
pedalled,pedalling
peddled,peddling
peeked,peeking
peeled,peeling
peeped,peeping
peered,peering
pegged,pegging
pelted,pelting
penalized,penalizing
pencilled,pencilling
penetrated,penetrating
penned,penning
peppered,peppering
perambulated,perambulating
perceived,perceiving
perched,perching
percolated,percolating
perfected,perfecting
perforated,perforating
performed,performing
perfumed,perfuming
perfused,perfusing
perished,perishing
perjured,perjuring
perked,perking
permeated,permeating
permed,perming
permitted,permitting
permuted,permuting
perpetrated,perpetrating
perpetuated,perpetuating
perplexed,perplexing
persecuted,persecuting
persevered,persevering
persisted,persisting
personalized,personalizing
personified,personifying
perspired,perspiring
persuaded,persuading
pertained,pertaining
perturbed,perturbing
perused,perusing
pervaded,pervading
perverted,perverting
pestered,pestering
petered,petering
petitioned,petitioning
petrified,petrifying
petted,petting
phased,phasing
philandered,philandering
philosophized,philosophizing
phoned,phoning
photocopied,photocopying
photographed,photographing
photosensitized,photosensitizing
photostatted,photostatting
phrased,phrasing
picked,picking
picketed,picketing
pickled,pickling
picnicked,picnicking
pictured,picturing
piddled,piddling
pieced,piecing
pierced,piercing
pigeonholed,pigeonholing
pigged,pigging
piled,piling
pilfered,pilfering
pillaged,pillaging
piloted,piloting
pimped,pimping
pinched,pinching
pined,pining
pinged,pinging
pinned,pinning
pinpointed,pinpointing
pioneered,pioneering
piped,piping
pipped,pipping
piqued,piquing
pirated,pirating
pirouetted,pirouetting
pissed,pissing
pitched,pitching
pitchforked,pitchforking
pitied,pitying
pitted,pitting
pivoted,pivoting
placated,placating
placed,placing
plagiarized,plagiarizing
plagued,plaguing
planned,planning
planted,planting
plastered,plastering
played,playing
pleaded,pleading
pleased,pleasing
pledged,pledging
plied,plying
plodded,plodding
plonked,plonking
plopped,plopping
plotted,plotting
ploughed,ploughing
plowed,plowing
plucked,plucking
plugged,plugging
plumbed,plumbing
plummetted,plummetting
plundered,plundering
plunged,plunging
poached,poaching
pocketed,pocketing
pointed,pointing
poised,poising
poisoned,poisoning
poked,poking
polarized,polarizing
policed,policing
polished,polishing
politicized,politicizing
politicked,politicking
polled,polling
pollinated,pollinating
polluted,polluting
pondered,pondering
pontificated,pontificating
pooh-poohed,pooh-poohing
pooled,pooling
popped,popping
popularized,popularizing
populated,populating
pored,poring
ported,porting
portended,portending
portrayed,portraying
posed,posing
posited,positing
positioned,positioning
possessed,possessing
postdated,postdating
posted,posting
postmarked,postmarking
postponed,postponing
postulated,postulating
postured,posturing
pottered,pottering
pounced,pouncing
pounded,pounding
poured,pouring
pouted,pouting
powdered,powdering
powwowed,powwowing
practiced,practicing
practised,practising
praised,praising
pranced,prancing
prated,prating
prattled,prattling
prayed,praying
pre-empted,pre-empting
pre-existed,pre-existing
preached,preaching
prearranged,prearranging
preceded,preceding
precipitated,precipitating
precluded,precluding
preconceived,preconceiving
predestined,predestining
predetermined,predetermining
predicated,predicating
predicted,predicting
predisposed,predisposing
predominated,predominating
preempted,preempting
preened,preening
prefabricated,prefabricating
prefaced,prefacing
preferred,preferring
prefigured,prefiguring
preheated,preheating
prejudged,prejudging
prejudiced,prejudicing
premeditated,premeditating
premised,premising
preoccupied,preoccupying
preordained,preordaining
prepaid,prepaying
prepared,preparing
prerecorded,prerecording
presaged,presaging
prescribed,prescribing
presented,presenting
preserved,preserving
presided,presiding
presorted,presorting
pressed,pressing
pressured,pressuring
pressurized,pressurizing
presumed,presuming
presupposed,presupposing
pretended,pretending
prettified,prettifying
prevailed,prevailing
prevaricated,prevaricating
prevented,preventing
preyed,preying
priced,pricing
pricked,pricking
prided,priding
pried,prying
primed,priming
primped,primping
printed,printing
privatized,privatizing
privileged,privileging
prized,prizing
probed,probing
proceeded,proceeding
processed,processing
proclaimed,proclaiming
procrastinated,procrastinating
procreated,procreating
procured,procuring
prodded,prodding
produced,producing
professed,professing
proffered,proffering
profiled,profiling
profited,profiting
profiteered,profiteering
prognosticated,prognosticating
programed,programing
programmed,programming
progressed,progressing
prohibited,prohibiting
projected,projecting
proliferated,proliferating
prolonged,prolonging
promenaded,promenading
promised,promising
promoted,promoting
prompted,prompting
promulgated,promulgating
pronounced,pronouncing
proofed,proofing
proofread,proofreading
propagandized,propagandizing
propagated,propagating
propelled,propelling
proportioned,proportioning
proposed,proposing
propositioned,propositioning
propounded,propounding
propped,propping
proscribed,proscribing
prosecuted,prosecuting
proselytized,proselytizing
prospered,prospering
prostituted,prostituting
prostrated,prostrating
protected,protecting
protested,protesting
protruded,protruding
proved,proving
proven,proving
provided,providing
provoked,provoking
prowled,prowling
pruned,pruning
psychoanalysed,psychoanalysing
psychoanalyzed,psychoanalyzing
pub-crawled,pub-crawling
publicized,publicizing
published,publishing
puckered,puckering
puffed,puffing
puked,puking
pulled,pulling
pulsated,pulsating
pulsed,pulsing
pulverized,pulverizing
pummelled,pummelling
pumped,pumping
punched,punching
punctuated,punctuating
punctured,puncturing
punished,punishing
punned,punning
punted,punting
purchased,purchasing
purged,purging
purified,purifying
purloined,purloining
purported,purporting
purred,purring
pursed,pursing
pursued,pursuing
purveyed,purveying
pushed,pushing
pussyfooted,pussyfooting
put,putting
putrefied,putrefying
puttered,puttering
puzzled,puzzling
quacked,quacking
quadrupled,quadrupling
quaffed,quaffing
quaked,quaking
qualified,qualifying
quantified,quantifying
quarantined,quarantining
quarreled,quarrelling
quarried,quarrying
quartered,quartering
quashed,quashing
quavered,quavering
quelled,quelling
quenched,quenching
queried,querying
quested,questing
questioned,questioning
queued,queueing
quibbled,quibbling
quick-frozen,quick-freezing
quickened,quickening
quieted,quieting
