reduced,reducing
masturbated,masturbating
mated,mating
mediated,mediating
met,meeting
mended,mending
merged,merging
meshed,meshing
milled,milling
mimed,miming
mined,mining
miscalculated,miscalculating
miscarried,miscarrying
miscounted,miscounting
misdealt,misdealing
misjudged,misjudging
misted,misting
misunderstood,mistunderstanding
moaned,moaning
mobilized,mobilizing
modeled,modeling
modelled,modelling
moderated,moderating
modernized,modernizing
moistened,moistening
mooned,mooning
moulded,moulding
moulted,moulting
mounted,mounting
mourned,mourning
mowed,mowing
muddled,muddling
multiplied,multiplying
mumbled,mumbling
munched,munching
murmured,murmuring
narrowed,narrowing
navigated,navigating
neared,nearing
negotiated,negotiating
nibbled,nibbling
nipped,nipping
nuzzled,nuzzling
obeyed,obeying
obsessed,obsessing
ogled,ogling
operated,operating
orbited,orbiting
originated,originating
ossified,ossifying
overcharged,overcharging
overdrawn,overdrawing
overdressed,overdressing
overfed,overfeeding
overflowed,overflowing
overheated,overheating
overindulged,overindulging
overlapped,overlapping
overproduced,overproducing
overreached,overreaching
overspent,overspending
overtrumped,overtrumping
overturned,overturning
overworked,overworking
oxidized,oxidizing
paced,pacing
paddled,paddling
painted,painting
paraded,parading
parked,parking
parted,parting
pealed,pealing
pecked,pecking
pedalled,pedalling
peddled,peddling
penetrated,penetrating
perched,perching
performed,performing
petitioned,petitioning
petrified,petrifying
picketed,picketing
pillaged,pillaging
pioneered,pioneering
pitched,pitching
plundered,plundering
poached,poaching
poised,poising
polled,polling
posed,posing
practised,practising
preached,preaching
privatized,privatizing
programed,programing
programmed,programming
projected,projecting
promenaded,promenading
proofread,proofreading
propagated,propagating
prowled,prowling
puked,puking
punctured,puncturing
punted,punting
putted,putting
puzzled,puzzling
qualified,qualifying
quickened,quickening
quietened,quietening
raced,racing
radiated,radiating
radioed,radioing
rallied,rallying
ramified,ramifying
ranked,ranking
rapped,rapping
rated,rating
rattled,rattling
ravelled,ravelling
re-formed,re-forming
re-opened,re-opening
readjusted,readjusting
reared,rearing
rearmed,rearming
reassembled,reassembling
rebuilt,rebuilding
recanted,recanting
recapped,recapping
recapitulated,recapitulating
received,receiving
reciprocated,reciprocating
reconvened,reconvening
reconverted,recovering
recovered,recruiting
recruited,reddening
reddened,redoubling
redoubled,referring
referred,reforming
reformed,refueling
refuelled,refuelling
regenerated,regenerating
registered,registering
regrouped,regrouping
rehearsed,rehearsing
reinvested,reinvesting
rekindled,rekindling
related,relating
relaxed,relaxing
relocated,relocating
remarried,remarrying
remitted,remitting
remounted,remounting
renegotiated,renegotiating
reopened,reopening
reorganized,reorganizing
repaired,repairing
reproduced,reproducing
resettled,resettling
restarted,restarting
resumed,resuming
resuscitated,resuscitating
retailed,retailing
retired,retiring
retooled,retooling
returned,returning
reunited,reuniting
reversed,reversing
revived,reviving
rhymed,rhyming
ricocheted,ricocheting
ringed,ringing
rung,ringing
roamed,roaming
roared,roaring
roasted,roasting
rotated,rotating
roused,rousing
rowed,rowing
ruffled,ruffling
ruptured,rupturing
rustled,rustling
sacrificed,sacrificing
saluted,saluting
sawed,sawing
scanned,scanning
scattered,scattering
scoffed,scoffing
scolded,scolding
scored,scoring
scrambled,scrambling
scrawled,scrawling
scribbled,scribbling
scrubbed,scrubbing
sculptured,sculpturing
searched,searching
seized,seizing
separated,separating
severed,severing
shaded,shading
shattered,shattering
shelled,shelling
shoplifted,shoplifting
short-circuited,short-circuiting
shortened,shortening
shoved,shoving
showered,showering
shrieked,shrieking
shrunk,shrinking
shrunken,shrinking
shuffled,shuffling
sifted,sifting
sung,singing
singed,singeing
sunk,sinking
sunken,sinking
sipped,sipping
slammed,slamming
slanted,slanting
sloshed,sloshing
smacked,smacking
smeared,smearing
smoked,smoking
smudged,smudging
snarled,snarling
snipped,snipping
snorted,snorting
snuggled,snuggling
socialized,socializing
solidified,solidifying
sowed,sowing
spattered,spattering
spawned,spawning
splashed,splashing
splayed,splaying
splintered,splintering
spoiled,spoiling
sponged,sponging
sported,sporting
spouted,spouting
spring-cleaned,spring-cleaning
spied,spying
squashed,squashing
stabilized,stabilizing
stained,staining
stalked,stalking
stalled,stalling
stammered,stammering
stampeded,stampeding
stared,staring
steadied,steadying
steeped,steeping
steepened,steepening
steered,steering
stewed,stewing
stifled,stifling
stung,stinging
stinted,stinting
stonewalled,stonewalling
strained,straining
stratified,stratifying
streaked,streaking
strengthened,strengthening
strummed,strumming
stumped,stumping
subcontracted,subcontracting
subdivided,subdividing
subleased,subleasing
sublet,subletting
submerged,submerging
submitted,submitting
substituted,substituting
succeeded,succeeding
sued,suing
suffered,suffering
suffocated,suffocating
supervised,supervising
supplicated,supplicating
surrendered,surrendering
survived,surviving
swallowed,swallowing
swapped,swapping
swayed,swaying
sweated,sweating
swished,swishing
swivelled,swivelling
synchronized,synchronizing
tackled,tackling
tagged,tagging
tanned,tanning
tapped,tapping
tarnished,tarnishing
telegraphed,telegraphing
telephoned,telephoning
tended,tending
terminated,terminating
thawed,thawing
thrashed,thrashing
thrilled,thrilling
thronged,thronging
throttled,throttling
thumped,thumping
thundered,thundering
tickled,tickling
tilted,tilting
toasted,toasting
tooted,tooting
traced,tracing
traded,trading
transferred,transferring
transgressed,transgressing
translated,translating
transplanted,transplanting
treated,treating
trebled,trebling
trotted,trotting
trumped,trumping
trumpeted,trumpeting
tugged,tugging
twirled,twirling
umpired,umpiring
unbended,unbending
uncurled,uncurling
underbidden,underbidding
underspent,underspending
undressed,undressing
unfastened,unfastening
unfolded,unfolding
unhitched,unhitching
unified,unifying
united,uniting
unloaded,unloading
unlocked,unlocking
unpacked,unpacking
unraveled,unraveling
unrolled,unrolling
unscrewed,unscrewing
untied,untying
unwound,unwinding
unwrapped,unwrapping
urbanized,urbanizing
vaporized,vaporizing
varied,varying
ventured,venturing
vested,vesting
vibrated,vibrating
visited,visiting
volleyed,volleying
vomited,vomiting
waded,wading
wagged,wagging
wailed,wailing
wakened,wakening
warped,warping
watered,watering
waved,waving
waxed,waxing
weakened,weakening
wedded,wedding
welded,welding
wheeled,wheeling
whined,whining
whirled,whirling
whistled,whistling
whitened,whitening
whittled,whittling
widened,widening
wiggled,wiggling
wired,wiring
withdrawn,withdrawing
worsened,worsening
worshipped,worshipping
wrestled,wrestling
wrinkled,wrinkling
yelled,yelling
yielded,yielding
yodelled,yodelling
abandoned,abandoning
abased,abasing
abbreviated,abbreviating
abducted,abducting
abetted,abetting
abhorred,abhorring
abolished,abolishing
abridged,abridging
abrogated,abrogating
absorbed,absorbing
abstracted,abstracting
abused,abusing
abutted,abutting
accented,accenting
accentuated,accentuating
accessed,accessing
acclaimed,acclaiming
accommodated,accommodating
accompanied,accompanying
accomplished,accomplishing
accosted,accosting
accredited,accrediting
accustomed,accustoming
achieved,achieving
acquainted,acquainting
acquired,acquiring
activated,activating
addicted,addicting
addled,addling
addressed,addressing
adjudged,adjudging
administered,administering
admired,admiring
admonished,admonishing
adopted,adopting
adored,adoring
adorned,adorning
adulterated,adulterating
adumbrated,adumbrating
aerated,aerating
affected,affecting
affixed,affixing
afflicted,afflicting
aggrandized,aggrandizing
aggravated,aggravating
aired,airing
alienated,alienating
allayed,allaying
alleviated,alleviating
allocated,allocating
allotted,allotting
amassed,amassing
ambushed,ambushing
ameliorated,ameliorating
amended,amending
amortized,amortizing
amplified,amplifying
amputated,amputating
anaesthetized,anaesthetizing
analysed,analysing
analyzed,analyzing
anathematized,anathematizing
anesthetized,anesthetizing
angered,angering
anglicized,anglicizing
animated,animating
annexed,annexing
annihilated,annihilating
annointed,annointing
annotated,annotating
annulled,annulling
anointed,anointing
antagonized,antagonizing
antedated,antedating
aped,aping
appalled,appalling
appeased,appeasing
appended,appending
apportioned,apportioning
appraised,appraising
apprehended,apprehending
apprenticed,apprenticing
apprised,apprising
appropriated,appropriating
armed,arming
aroused,arousing
arraigned,arraigning
arrayed,arraying
arrested,arresting
arrogated,arrogating
ascribed,ascribing
asphalted,asphalting
asphyxiated,asphyxiating
aspirated,aspirating
assailed,assailing
assassinated,assassinating
assaulted,assaulting
assayed,assaying
assessed,assessing
assuaged,assuaging
atomized,atomizing
attached,attaching
attacked,attacking
attained,attaining
attenuated,attenuating
attired,attiring
attracted,attracting
attributed,attributing
attuned,attuning
audited,auditing
augmented,augmenting
authenticated,authenticating
autographed,autographing
automated,automating
avenged,avenging
averred,averring
averted,averting
awaited,awaiting
awed,awing
axed,axing
axed,axing
backdated,backdating
badgered,badgering
baffled,baffling
baited,baiting
baked,baking
balanced,balancing
baled,baling
bamboozled,bamboozling
banned,banning
bandaged,bandaging
banished,banishing
bankrupted,bankrupting
baptized,baptizing
barbarized,barbarizing
barbecued,barbecuing
bared,baring
barrelled,barrelling
barricaded,barricading
based,bashing
bashed,basing
basted,basting
battered,battering
battled,battling
beatified,beatifying
beautified,beautifying
bedevilled,bedevilling
befallen,befalling
befitted,befitting
befouled,befouling
befriended,befriending
begotten,begetting
beggared,beggaring
beguiled,beguiling
beheaded,beheading
beheld,beholding
belaboured,belabouring
belied,belying
belittled,belittling
belted,belting
bemoaned,bemoaning
bequeathed,bequeathing
berated,berating
bereaved,bereaving
beseeched,beseeching
besieged,besieging
besmirched,besmirching
bespoken,bespeaking
bested,besting
bestirred,bestirring
bestowed,bestowing
bestrewed,bestrewing
bestrode,bestriding
betokened,betokening
betrayed,betraying
bevelled,bevelling
bewailed,bewailing
bewildered,bewildering
bewitched,bewitching
biased,biasing
bided,biding
biffed,biffing
bilked,bilking
billed,billing
billeted,billeting
birched,birching
bisected,bisecting
blackballed,blackballing
blacklisted,blacklisting
blackmailed,blackmailing
blamed,blaming
blanketed,blanketing
blasted,blasting
blazoned,blazoning
blemished,blemishing
blessed,blessing
blighted,blighting
blinded,blindfolding
blindfolded,blinding
blitzed,blitzing
blockaded,blockading
blow-dried,blow-drying
bludgeoned,bludgeoning
blue-pencilled,blue-pencilling
blunted,blunting
bolstered,bolstering
bombed,bombing
bombarded,bombarding
boosted,boosting
bossed,bossing
botched,botching
boycotted,boycotting
braced,bracing
bracketed,bracketing
braided,braiding
brainwashed,brainwashing
braised,braising
branded,branding
brandished,brandishing
braved,braving
breached,breaching
bribed,bribing
bricked,bricking
bridged,bridging
briefed,briefing
broached,broaching
brocaded,brocading
bronzed,bronzing
brooked,brooking
browbeaten,browbeating
brutalized,brutalizing
budgeted,budgeting
buffed,buffing
bugged,bugging
bulldozed,bulldozing
bunged,bunging
bungled,bungling
buoyed,buoying
burdened,burdening
burlesqued,burlesquing
buried,burying
bused,busing
bussed,bussing
busied,busying
butchered,butchering
buttonholed,buttonholing
buttressed,buttressing
by-passed,by-passing
bypassed,bypassing
cajoled,cajoling
calibrated,calibrating
camouflaged,camouflaging
caned,caning
cannibalized,cannibalizing
canonized,canonizing
capped,capping
captivated,captivating
captured,capturing
carbonized,carbonizing
carded,carding
caressed,caressing
caricatured,caricaturing
carpeted,carpeting
cased,casing
castigated,castigating
castrated,castrating
catalogued,cataloguing
catapulted,catapulting
categorized,categorizing
ceded,ceding
cemented,cementing
censored,censoring
censured,censuring
centralized,centralizing
chagrined,chagrining
chained,chaining
chaired,chairing
championed,championing
channelled,channelling
chaperoned,chaperoning
charmed,charming
charted,chartering
chartered,charting
chastened,chastening
chastised,chastising
cheapened,cheapening
checkmated,checkmating
cherished,cherishing
chided,chiding
chiselled,chiselling
chlorinated,chlorinating
christened,christening
chronicled,chronicling
circularized,circularizing
circumcised,circumcising
circumnavigated,circumnavigating
circumscribed,circumscribing
circumvented,circumventing
cited,citing
civilized,civilizing
clamped,clamping
classified,classifying
clawed,clawing
cleansed,cleansing
clenched,clenching
clipped,clipping
cloaked,cloaking
clobbered,clobbering
cloistered,cloistering
cloned,cloning
closeted,closeting
clothed,clothing
clubbed,clubbing
co-authored,co-authoring
co-opted,co-opting
co-produced,co-producing
coated,coating
cobbled,cobbling
cocked,cocking
coddled,coddling
coded,codifying
codified,coding
coerced,coercing
coined,coining
cold-shouldered,cold-shouldering
collared,collaring
collated,collating
collected,collecting
collectivized,collectivizing
colonized,colonizing
colored,coloring
coloured,colouring
combated,combating
combatted,combatting
comforted,comforting
commandeered,commandeering
commemorated,commemorating
commended,commending
commercialized,commercializing
compacted,compacting
compartmentalized,compartmentalizing
compiled,compiling
complemented,complementing
completed,completing
complicated,complicating
complimented,complimenting
composted,composting
compounded,compounding
comprehended,comprehending
compressed,compressing
comprised,comprising
computerized,computerizing
conned,conning
concealed,concealing
concerned,concerning
conciliated,conciliating
concocted,concocting
conditioned,conditioning
condoned,condoning
configured,configuring
confined,confining
confiscated,confiscating
confounded,confounding
confronted,confronting
confused,confusing
confuted,confuting
congratulated,congratulating
conked,conking
connoted,connoting
conquered,conquering
conscripted,conscripting
consecrated,consecrating
conserved,conserving
consigned,consigning
consoled,consoling
constituted,constituting
constrained,constraining
constricted,constricting
constructed,constructing
construed,construing
consumed,consuming
consummated,consummating
contacted,contacting
contained,containing
contaminated,contaminating
contented,contenting
contorted,contorting
contoured,contouring
contradicted,contradicting
contravened,contravening
contrived,contriving
controlled,controlling
conveyed,conveying
convoked,convoking
convoyed,convoying
convulsed,convulsing
cooped,cooping
coordinated,coordinating
copied,copying
copyrighted,copyrighting
corded,cording
cordoned,cordoning
cored,coring
corked,corking
cornered,cornering
corralled,corralling
corrected,correcting
corroborated,corroborating
countenanced,countenancing
counteracted,counteracting
counterbalanced,counterbalancing
counterfeited,counterfeiting
countermanded,countermanding
countersigned,countersigning
coupled,coupling
courted,courting
court-martialed,court-martialing
coveted,coveting
cradled,cradling
cramped,cramping
craned,craning
crayoned,crayoning
creamed,creaming
created,creating
credited,crediting
cremated,cremating
crimped,crimping
crippled,crippling
criticized,criticizing
cross-examined,cross-examining
cross-fertilized,cross-fertilizing
cross-indexed,cross-indexing
cross-questioned,cross-questioning
crossbred,crossbreeding
crowned,crowning
crucified,crucifying
crushed,crushing
cubed,cubing
cudgeled,cudgeling
cuffed,cuffing
culled,culling
cultivated,cultivating
cupped,cupping
curbed,curbing
cured,curing
curried,currying
curtailed,curtailing
cushioned,cushioning
damaged,damaging
damned,damning
dampened,dampening
dandled,dandling
daubed,daubing
daunted,daunting
dazed,dazing
dazzled,dazzling
de-escalated,de-escalating
de-iced,de-icing
deadened,deadening
deafened,deafening
debarred,debarring
debased,debasing
debauched,debauching
debilitated,debilitating
debited,debiting
debriefed,debriefing
debugged,debugging
debunked,debunking
decanted,decanting
decapitated,decapitating
decarbonized,decarbonizing
deceived,deceiving
decentralized,decentralizing
decertified,decertifying
decimalized,decimalizing
decimated,decimating
deciphered,deciphering
decked,decking
declaimed,declaiming
declassified,declassifying
decoded,decoding
decolonized,decolonizing
decompressed,decompressing
decontaminated,decontaminating
decorated,decorating
decried,decrying
dedicated,dedicating
deducted,deducting
deep-frozen,deep-freezing
defaced,defacing
defamed,defaming
defeated,defeating
defended,defending
deferred,deferring
defiled,defiling
defined,defining
deflated,deflating
deflowered,deflowering
defoliated,defoliating
deforested,deforesting
deformed,deforming
defrauded,defrauding
defrayed,defraying
defrocked,defrocking
defrosted,defrosting
defused,defusing
defied,defying
degraded,degrading
dehumanized,dehumanizing
dehydrated,dehydrating
deified,deifying
delegated,delegating
deleted,deleting
delimited,delimiting
delineated,delineating
deluded,deluding
demagnetized,demagnetizing
demarcated,demarcating
demeaned,demeaning
demilitarized,demilitarizing
demisted,demisting
demobilized,demobilizing
demolished,demolishing
demoralized,demoralizing
demoted,demoting
denationalized,denationalizing
denigrated,denigrating
denominated,denominating
denoted,denoting
denounced,denouncing
dented,denting
denuded,denuding
deodorized,deodorizing
depleted,depleting
deplored,deploring
deployed,deploying
depopulated,depopulating
deported,deporting
deposed,deposing
deposited,depositing
deprecated,deprecating
deprogrammed,deprogramming
deranged,deranging
derided,deriding
desalinated,desalinating
desalinized,desalinizing
desecrated,desecrating
desegregated,desegregating
desensitized,desensitizing
deserted,deserting
desiccated,desiccating
designated,designating
despatched,despatching
despised,despising
despoiled,despoiling
destroyed,destroying
detached,detaching
detained,detaining
detected,detecting
deterred,deterring
detested,detesting
dethroned,dethroning
devaluated,devaluating
devalued,devaluing
devastated,devastating
devised,devising
devoted,devoting
devoured,devouring
diagnosed,diagnosing
diced,dicing
diddled,diddling
diffracted,diffracting
dignified,dignifying
diluted,diluting
directed,directing
disabled,disabling
disallowed,disallowing
disappointed,disappointing
disarranged,disarranging
disassociated,disassociating
disavowed,disavowing
disbursed,disbursing
discarded,discarding
disciplined,disciplining
disclaimed,disclaiming
discomfited,discomfiting
disconcerted,disconcerting
disconnected,disconnecting
discontented,discontenting
discounted,discounting
discouraged,discouraging
discredited,discrediting
disdained,disdaining
disembarrassed,disembarrassing
disembowelled,disembowelling
disenchanted,disenchanting
disenfranchised,disenfranchising
disestablished,disestablishing
disfavoured,disfavouring
disfigured,disfiguring
disgorged,disgorging
disgraced,disgracing
disguised,disguising
disheartened,disheartening
dishonoured,dishonouring
disillusioned,disillusioning
disinfected,disinfecting
disinherited,disinheriting
disinterred,disinterring
dislocated,dislocating
dislodged,dislodging
dismantled,dismantling
dismembered,dismembering
dismissed,dismissing
disobeyed,disobeying
disoriented,disorienting
disorientated,disorientating
disowned,disowning
disparaged,disparaging
dispatched,dispatching
dispelled,dispelling
displaced,displacing
displayed,displaying
displeased,displeasing
dispossessed,dispossessing
disproved,disproving
disqualified,disqualifying
disregarded,disregarding
disrupted,disrupting
dissected,dissecting
disseminated,disseminating
dissociated,dissociating
dissuaded,dissuading
distanced,distancing
distilled,distilling
distorted,distorting
distracted,distracting
distributed,distributing
distrusted,distrusting
disturbed,disturbing
ditched,ditching
diverted,diverting
divested,divesting
divorced,divorcing
divulged,divulging
dizzied,dizzying
doctored,doctoring
documented,documenting
doffed,doffing
domesticated,domesticating
dominated,dominating
donated,donating
donned,donning
doomed,dooming
doped,doping
dotted,dotting
double-checked,double-checking
double-crossed,double-crossing
doused,dousing
downed,downgrading
downgraded,downing
downloaded,downloading
dragooned,dragooning
dramatized,dramatizing
draped,draping
drenched,drenching
drip-dried,drip-drying
drubbed,drubbing
drugged,drugging
dry-cleaned,dry-cleaning
dumbfounded,dumbfounding
dunked,dunking
duped,duping
duplicated,duplicating
dusted,dusting
dwarfed,dwarfing
dyed,dyeing
dynamited,dynamiting
earmarked,earmarking
earned,earning
eclipsed,eclipsing
edified,edifying
edited,editing
effaced,effacing
effected,effecting
elbowed,elbowing
electrified,electrifying
electrocuted,electrocuting
elevated,elevating
elicited,eliciting
elided,eliding
eliminated,eliminating
elucidated,elucidating
eluded,eluding
emancipated,emancipating
emasculated,emasculating
embalmed,embalming
embargoed,embargoing
embedded,embedding
embellished,embellishing
embezzled,embezzling
embittered,embittering
emblazoned,emblazoning
embodied,embodying
emboldened,emboldening
embossed,embossing
embraced,embracing
embroiled,embroiling
emended,emending
emitted,emitting
empanelled,empanelling
empowered,empowering
emulated,emulating
emulsified,emulsifying
enacted,enacting
enamelled,enamelling
encased,encasing
enchanted,enchanting
encircled,encircling
enclosed,enclosing
encoded,encoding
encompassed,encompassing
encountered,encountering
encrypted,encrypting
encumbered,encumbering
endangered,endangering
endeared,endearing
endorsed,endorsing
endowed,endowing
enervated,enervating
enfolded,enfolding
enforced,enforcing
enfranchised,enfranchising
engendered,engendering
engineered,engineering
engraved,engraving
engrossed,engrossing
engulfed,engulfing
enhanced,enhancing
enjoined,enjoining
enlarged,enlarging
enlightened,enlightening
enlivened,enlivening
enmeshed,enmeshing
ennobled,ennobling
enraged,enraging
enriched,enriching
ensconced,ensconcing
enshrined,enshrining
enshrouded,enshrouding
enslaved,enslaving
ensnared,ensnaring
entangled,entangling
enthralled,enthralling
enthralled,enthralling
enthroned,enthroning
entombed,entombing
entrained,entraining
entranced,entrancing
entrapped,entrapping
entreated,entreating
entrusted,entrusting
entwined,entwining
enumerated,enumerating
enveloped,enveloping
envisaged,envisaging
envied,envying
epitomized,epitomizing
equalized,equalizing
equalled,equalling
equated,equating
equipped,equipping
eradicated,eradicating
erased,erasing
erected,erecting
eschewed,eschewing
escorted,escorting
espoused,espousing
espied,espying
established,establishing
esteemed,esteeming
eulogized,eulogizing
evaded,evading
evaluated,evaluating
evicted,evicting
evinced,evincing
eviscerated,eviscerating
evoked,evoking
exacerbated,exacerbating
exalted,exalting
examined,examining
exasperated,exasperating
excavated,excavating
exceeded,exceeding
excepted,excepting
exchanged,exchanging
excised,excising
excluded,excluding
excommunicated,excommunicating
excoriated,excoriating
excreted,excreting
exculpated,exculpating
excused,excusing
executed,executing
exemplified,exemplifying
exempted,exempting
exerted,exerting
exhausted,exhausting
exhibited,exhibiting
exhilarated,exhilarating
exhumed,exhuming
exiled,exiling
exorcized,exorcizing
expedited,expediting
expelled,expelling
expended,expending
experienced,experiencing
expiated,expiating
explicated,explicating
exploited,exploiting
exported,exporting
exposed,exposing
expressed,expressing
expropriated,expropriating
expunged,expunging
expurgated,expurgating
extenuated,extenuating
exterminated,exterminating
externalized,externalizing
extinguished,extinguishing
extirpated,extirpating
extolled,extolling
extorted,extorting
extracted,extracting
extradited,extraditing
extricated,extricating
exuded,exuding
eyed,eying
fabricated,fabricating
facilitated,facilitating
fagged,fagging
faked,faking
falsified,falsifying
familiarized,familiarizing
fancied,fancying
fascinated,fascinating
fashioned,fashioning
fated,fating
fathomed,fathoming
fatigued,fatiguing
faulted,faulting
favoured,favouring
feathered,feathering
featured,featuring
fed,feeding
feigned,feigning
felled,felling
fenced,fencing
ferreted,ferreting
fertilized,fertilizing
festooned,festooning
feted,feting
fettered,fettering
filleted,filleting
finalized,finalizing
financed,financing
fine-tuned,fine-tuning
fingered,fingering
flagellated,flagellating
flanked,flanking
flattered,flattering
flaunted,flaunting
flavoured,flavouring
flayed,flaying
fleeced,fleecing
flexed,flexing
flicked,flicking
flogged,flogging
floodlit,floodlighting
floored,flooring
flouted,flouting
fluffed,fluffing
flummoxed,flummoxing
fluoridated,fluoridating
flurried,flurrying
flustered,flustering
foiled,foiling
foisted,foisting
fomented,fomenting
fondled,fondling
fooled,fooling
force-fed,force-feeding
forded,fording
forecasted,forecasting
foregone,foregoing
foreordained,foreordaining
foreshadowed,foreshadowing
foreshortened,foreshortening
forestalled,forestalling
foresworn,foreswearing
foretold,foretelling
forfeited,forfeiting
forged,forging
forgone,forgoing
formalized,formalizing
formulated,formulating
forsaken,forsaking
forsworn,forswearing
fortified,fortifying
forwarded,forwarding
fostered,fostering
founded,founding
framed,framing
franked,franking
freed,freeing
frequented,frequenting
frescoed,frescoing
fricasseed,fricasseeing
frightened,frightening
frisked,frisking
frittered,frittering
frogmarched,frogmarching
frustrated,frustrating
fried,frying
fulfilled,fulfilling
fulfilled,fulfilling
fumigated,fumigating
funded,funding
funnelled,funnelling
furbished,furbishing
furnished,furnishing
furrowed,furrowing
furthered,furthering
gaged,gaging
gainsaid,gainsaying
galled,galling
galvanized,galvanizing
gaoled,gaoling
garbed,garbing
garbled,garbling
garnered,garnering
garnished,garnishing
garrisoned,garrisoning
gashed,gashing
gatecrashed,gatecrashing
gauged,gauging
generated,generating
gerrymandered,gerrymandering
gilded,gilding
ginned,ginning
girded,girding
gladdened,gladdening
glamorized,glamorizing
gleaned,gleaning
glimpsed,glimpsing
glorified,glorifying
glutted,glutting
goaded,goading
gored,gorging
gorged,goring
grabbed,grabbing
graced,gracing
graded,grading
grafted,grafting
gratified,gratifying
gravelled,gravelling
greased,greasing
greeted,greeting
grilled,grilling
gripped,gripping
gritted,gritting
groined,groining
groomed,grooming
grossed,grossing
grudged,grudging
guarded,guarding
guided,guiding
guillotined,guillotining
gummed,gumming
gunned,gunning
gutted,gutting
guzzled,guzzling
gypped,gypping
hallowed,hallowing
halted,halting
halved,halving
hampered,hampering
hamstrung,hamstringing
handcuffed,handcuffing
handicapped,handicapping
handled,handling
harangued,haranguing
harassed,harassing
harbored,harboring
harboured,harbouring
harmed,harming
harnessed,harnessing
harpooned,harpooning
harrowed,harrowing
harried,harrying
harvested,harvesting
hassled,hassling
haunted,haunting
hawked,hawking
hazarded,hazarding
hazed,hazing
heaped,heaping
heartened,heartening
heeded,heeding
heralded,heralding
highjacked,highjacking
highlighted,highlighting
hijacked,hijacking
hindered,hindering
hit,hitting
hoaxed,hoaxing
hobbled,hobbling
hocked,hocking
hogged,hogging
hollowed,hollowing
homogenized,homogenizing
honed,honing
honored,honoring
honoured,honouring
hooded,hooding
hoodwinked,hoodwinking
horrified,horrifying
horsewhipped,horsewhipping
hosed,hosing
hospitalized,hospitalizing
hosted,hosting
hotfooted,hotfooting
hounded,hounding
housed,housing
hulled,hulling
humbled,humbling
humbugged,humbugging
humiliated,humiliating
humoured,humouring
humped,humping
hunched,hunching
hurled,hurling
husked,husking
hyphenated,hyphenating
hypnotized,hypnotizing
idealized,idealizing
identified,identifying
idolized,idolizing
ignored,ignoring
ill-treated,ill-treating
illuminated,illuminating
illumined,illumining
illustrated,illustrating
imaged,imaging
imbibed,imbibing
imbued,imbuing
imitated,imitating
immersed,immersing
immobilized,immobilizing
immolated,immolating
immortalized,immortalizing
immunized,immunizing
impacted,impacting
impaired,impairing
impaled,impaling
impanelled,impanelling
imparted,imparting
impeached,impeaching
impeded,impeding
imperilled,imperilling
impersonated,impersonating
implanted,implanting
implemented,implementing
implicated,implicating
imported,importing
imposed,imposing
impounded,impounding
impoverished,impoverishing
impregnated,impregnating
impressed,impressing
imprinted,imprinting
imprisoned,imprisoning
impugned,impugning
imputed,imputing
inactivated,inactivating
inaugurated,inaugurating
incapacitated,incapacitating
incarcerated,incarcerating
incensed,incensing
incinerated,incinerating
included,including
inconvenienced,inconveniencing
incriminated,incriminating
inculcated,inculcating
incurred,incurring
indemnified,indemnifying
indentured,indenturing
indexed,indexing
indicted,indicting
individuated,individuating
indoctrinated,indoctrinating
inducted,inducting
infatuated,infatuating
infected,infecting
infested,infesting
infiltrated,infiltrating
inflamed,inflaming
inflated,inflating
inflected,inflecting
inflicted,inflicting
influenced,influencing
infuriated,infuriating
infused,infusing
ingested,ingesting
ingratiated,ingratiating
inhabited,inhabiting
inherited,inheriting
inhibited,inhibiting
initialled,initialling
initiated,initiating
injected,injecting
injured,injuring
inked,inking
inoculated,inoculating
inscribed,inscribing
inseminated,inseminating
inserted,inserting
inspected,inspecting
installed,installing
instigated,instigating
instilled,instilling
instilled,instilling
instituted,instituting
institutionalized,institutionalizing
insulated,insulating
insulted,insulting
insured,insuring
integrated,integrating
interred,interring
intercepted,intercepting
interchanged,interchanging
interdicted,interdicting
interested,interesting
interjected,interjecting
interleaved,interleaving
internalized,internalizing
internationalized,internationalizing
interpolated,interpolating
interrogated,interrogating
interspersed,interspersing
interwoven,interweaving
intimidated,intimidating
intoned,intoning
intoxicated,intoxicating
introduced,introducing
intuited,intuiting
inundated,inundating
invaded,invading
invalidated,invalidating
inveigled,inveigling
invented,inventing
inverted,inverting
invigorated,invigorating
invoked,invoking
irked,irking
irradiated,irradiating
irrigated,irrigating
isolated,isolating
italicized,italicizing
itemized,itemizing
iterated,iterating
jailed,jailing
jarred,jarring
jeopardized,jeopardizing
jettisoned,jettisoning
jilted,jilting
jollied,jollying
jugged,jugging
juxtaposed,juxtaposing
kenned,kenning
kidnapped,kidnapping
kissed,kissing
kneaded,kneading
knifed,knifing
knighted,knighting
labelled,labelling
laced,lacerating
lacerated,lacing
lacked,lacking
lacquered,lacquering
lambasted,lambasting
laminated,laminating
lampooned,lampooning
lanced,lancing
landscaped,landscaping
lassoed,lassoing
lauded,lauding
laundered,laundering
lavished,lavishing
leached,leaching
leapfrogged,leapfrogging
leased,leasing
leavened,leavening
legalized,legalizing
legitimatized,legitimatizing
levered,levering
leveraged,leveraging
levied,levying
libelled,libelling
liberalized,liberalizing
liberated,liberating
licenced,licencing
likened,likening
limited,limiting
lionized,lionizing
